name,artist,text
Kjeldoran Royal Guard,Carl Critchlow,{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.
Loxodon Mystic,Randy Gallegos,"{W}, {T}: Tap target creature."
Loyal Sentry,Michael Sutfin,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry."
Luminesce,Daren Bader,Prevent all damage that black sources and red sources would deal this turn.
Mobilization,Carl Critchlow,Soldier creatures have vigilance.\n{2}{W}: Put a 1/1 white Soldier creature token onto the battlefield.
Nomad Mythmaker,Darrell Riche,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control."
Pacifism,Robert Bliss,Enchant creature\nEnchanted creature can't attack or block.
Paladin en-Vec,Dave Kendall,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)"
Pariah,Jon J Muth,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nAll damage that would be dealt to you is dealt to enchanted creature instead.
Reviving Dose,D. Alexander Gregory,You gain 3 life.\nDraw a card.
Reya Dawnbringer,Matthew D. Wilson,"Flying\nAt the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield."
Righteousness,Wayne England,Target blocking creature gets +7/+7 until end of turn.
Rule of Law,Scott M. Fischer,Each player can't cast more than one spell each turn.
Samite Healer,Anson Maddocks,{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.
Serra Angel,Greg Staples,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.)
Serra's Embrace,Zoltan Boros & Gabor Szikszai,Enchant creature\nEnchanted creature gets +2/+2 and has flying and vigilance.
Skyhunter Patrol,Matt Cavotta,"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)"
Skyhunter Prowler,Vance Kovacs,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)"
Skyhunter Skirmisher,Greg Staples,"Flying, double strike"
Soul Warden,Randy Gallegos,"Whenever another creature enters the battlefield, you gain 1 life."
Spirit Link,Kev Walker,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nWhenever enchanted creature deals damage, you gain that much life."
Spirit Weaver,Matthew D. Wilson,{2}: Target green or blue creature gets +0/+1 until end of turn.
Starlight Invoker,Glen Angus,{7}{W}: You gain 5 life.
Steadfast Guard,Michael Komarck,Vigilance (Attacking doesn't cause this creature to tap.)
Story Circle,Aleksi Briclot,"As Story Circle enters the battlefield, choose a color.\n{W}: The next time a source of your choice of the chosen color would deal damage to you this turn, prevent that damage."
Suntail Hawk,Heather Hudson,Flying
Tempest of Light,Wayne England,Destroy all enchantments.
Treasure Hunter,Adam Rex,"When Treasure Hunter enters the battlefield, you may return target artifact card from your graveyard to your hand."
True Believer,Alex Horley-Orlandelli,You have shroud. (You can't be the target of spells or abilities.)
Tundra Wolves,Richard Sardinha,First strike (This creature deals combat damage before creatures without first strike.)
Venerable Monk,D. Alexander Gregory,"When Venerable Monk enters the battlefield, you gain 2 life."
Voice of All,rk post,"Flying\nAs Voice of All enters the battlefield, choose a color.\nVoice of All has protection from the chosen color."
Wall of Swords,Zoltan Boros & Gabor Szikszai,Defender (This creature can't attack.)\nFlying
Warrior's Honor,D. Alexander Gregory,Creatures you control get +1/+1 until end of turn.
Wild Griffin,Matt Cavotta,Flying
Windborn Muse,Adam Rex,Flying\nCreatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.
Wrath of God,Kev Walker,Destroy all creatures. They can't be regenerated.
Youthful Knight,Rebecca Guay,First strike (This creature deals combat damage before creatures without first strike.)
Academy Researchers,Stephen Daniele,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers."
Air Elemental,Kev Walker,Flying
Ambassador Laquatus,Jim Murray,{3}: Target player puts the top three cards of his or her library into his or her graveyard.
Arcanis the Omnipotent,Justin Sweet,{T}: Draw three cards.\n{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.
Aura Graft,Ray Lago,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.
Aven Fisher,Christopher Moeller,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Fisher dies, you may draw a card."
Aven Windreader,Greg Hildebrandt,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{U}: Target player reveals the top card of his or her library.
Boomerang,Arnie Swekel,Return target permanent to its owner's hand.
Cancel,Mark Poole,Counter target spell.
Cephalid Constable,Alan Pollack,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owners' hands."
Clone,Kev Walker,You may have Clone enter the battlefield as a copy of any creature on the battlefield.
Cloud Elemental,Michael Sutfin,Flying\nCloud Elemental can block only creatures with flying.
Cloud Sprite,Mark Zug,Flying (This creature can't be blocked except by creatures with flying or reach.)\nCloud Sprite can block only creatures with flying.
Counsel of the Soratami,Randy Gallegos,Draw two cards.
Crafty Pathmage,Wayne England,{T}: Target creature with power 2 or less can't be blocked this turn.
Dehydration,Arnie Swekel,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature doesn't untap during its controller's untap step.
Deluge,Wayne England,Tap all creatures without flying.
Denizen of the Deep,Jim Pavelec,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand."
Discombobulate,Alex Horley-Orlandelli,"Counter target spell. Look at the top four cards of your library, then put them back in any order."
Dreamborn Muse,Kev Walker,"At the beginning of each player's upkeep, that player puts the top X cards of his or her library into his or her graveyard, where X is the number of cards in his or her hand."
Evacuation,Franz Vohwinkel,Return all creatures to their owners' hands.
Flashfreeze,Brian Despain,Counter target red or green spell.
Fog Elemental,Jon J Muth,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Fog Elemental attacks or blocks, sacrifice it at end of combat."
Fugitive Wizard,Mark Zug,
Horseshoe Crab,Scott Kirschner,{U}: Untap Horseshoe Crab.
Hurkyl's Recall,Ralph Horsley,Return all artifacts target player owns to his or her hand.
Lumengrid Warden,Francis Tsai,
Mahamoti Djinn,Greg Staples,Flying (This creature can't be blocked except by creatures with flying or reach.)
March of the Machines,Ben Thompson,Each noncreature artifact is an artifact creature with power and toughness each equal to its converted mana cost. (Equipment that's a creature can't equip a creature.)
Merfolk Looter,Tristan Elwell,"{T}: Draw a card, then discard a card."
Mind Bend,Mike Dringenberg,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)"
Peek,Adam Rex,Look at target player's hand.\nDraw a card.
Persuasion,William O'Connor,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nYou control enchanted creature.
Phantom Warrior,Greg Staples,Phantom Warrior can't be blocked.
Plagiarize,Jeremy Jarvis,"Until end of turn, if target player would draw a card, instead that player skips that draw and you draw a card."
Puppeteer,Kev Walker,"{U}, {T}: You may tap or untap target creature."
Reminisce,Ralph Horsley,Target player shuffles his or her graveyard into his or her library.
Remove Soul,Adam Rex,Counter target creature spell.
Robe of Mirrors,Christopher Moeller,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has shroud. (It can't be the target of spells or abilities.)
Rootwater Commando,Mark Tedin,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)
Rootwater Matriarch,Daren Bader,{T}: Gain control of target creature for as long as that creature is enchanted.
Sage Owl,Mark Brill,"Flying\nWhen Sage Owl enters the battlefield, look at the top four cards of your library, then put them back in any order."
Scalpelexis,Mark Tedin,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Scalpelexis deals combat damage to a player, that player exiles the top four cards of his or her library. If two or more of those cards have the same name, repeat this process."
Sea Monster,Brian Despain,Sea Monster can't attack unless defending player controls an Island.
Shimmering Wings,Carl Critchlow,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has flying. (It can't be blocked except by creatures with flying or reach.)\n{U}: Return Shimmering Wings to its owner's hand.
Sift,Jeremy Jarvis,"Draw three cards, then discard a card."
Sky Weaver,Christopher Moeller,{2}: Target white or black creature gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
Snapping Drake,Dave Dorman,Flying
Spiketail Hatchling,Greg Staples,Flying (This creature can't be blocked except by creatures with flying or reach.)\nSacrifice Spiketail Hatchling: Counter target spell unless its controller pays {1}.
Sunken Hope,Volkan Baga,"At the beginning of each player's upkeep, that player returns a creature he or she controls to its owner's hand."
Telepathy,Matthew D. Wilson,Your opponents play with their hands revealed.
Telling Time,Scott M. Fischer,"Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library."
Thieving Magpie,Una Fricker,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Thieving Magpie deals damage to an opponent, draw a card."
Tidings,Pete Venters,Draw four cards.
Time Stop,Scott M. Fischer,"End the turn. (Exile all spells and abilities on the stack, including this card. The player whose turn it is discards down to his or her maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)"
Time Stretch,Matt Cavotta,Target player takes two extra turns after this one.
Traumatize,Greg Staples,"Target player puts the top half of his or her library, rounded down, into his or her graveyard."
Twincast,Christopher Moeller,Copy target instant or sorcery spell. You may choose new targets for the copy.
Twitch,DiTerlizzi,"You may tap or untap target artifact, creature, or land.\nDraw a card."
Unsummon,Ron Spencer,Return target creature to its owner's hand.
Vedalken Mastermind,Darrell Riche,"{U}, {T}: Return target permanent you control to its owner's hand."
Wall of Air,John Avon,"Defender, flying (This creature can't attack, and it can block creatures with flying.)"
Afflict,Roger Raupp,Target creature gets -1/-1 until end of turn.\nDraw a card.
Agonizing Memories,Adam Rex,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.
Ascendant Evincar,Mark Zug,Flying (This creature can't be blocked except by creatures with flying or reach.)\nOther black creatures get +1/+1.\nNonblack creatures get -1/-1.
Assassinate,Kev Walker,Destroy target tapped creature.
Beacon of Unrest,Alan Pollack,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.
Bog Wraith,Daarken,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Consume Spirit,Matt Thompson,Spend only black mana on X.\nConsume Spirit deals X damage to target creature or player and you gain X life.
Contaminated Bond,Thomas M. Baxa,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nWhenever enchanted creature attacks or blocks, its controller loses 3 life."
Cruel Edict,Michael Sutfin,Target opponent sacrifices a creature.
Deathmark,Jeremy Jarvis,Destroy target green or white creature.
Diabolic Tutor,Greg Staples,Search your library for a card and put that card into your hand. Then shuffle your library.
Distress,Michael Sutfin,Target player reveals his or her hand. You choose a nonland card from it. That player discards that card.
Doomed Necromancer,Volkan Baga,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield."
Dross Crocodile,Carl Critchlow,
Drudge Skeletons,Jim Nelson,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Dusk Imp,Pete Venters,Flying
Essence Drain,Jim Nelson,Essence Drain deals 3 damage to target creature or player and you gain 3 life.
Fear,Adam Rex,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
Festering Goblin,Thomas M. Baxa,"When Festering Goblin dies, target creature gets -1/-1 until end of turn."
Grave Pact,Puddnhead,"Whenever a creature you control dies, each other player sacrifices a creature."
Graveborn Muse,Kev Walker,"At the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of Zombies you control."
Gravedigger,Dermot Power,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand."
Hate Weaver,Roger Raupp,{2}: Target blue or red creature gets +1/+0 until end of turn.
Head Games,Terese Nielsen,"Target opponent puts the cards from his or her hand on top of his or her library. Search that player's library for that many cards. The player puts those cards into his or her hand, then shuffles his or her library."
Hidden Horror,Brom,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card."
Highway Robber,Kev Walker,"When Highway Robber enters the battlefield, target opponent loses 2 life and you gain 2 life."
Hypnotic Specter,Greg Staples,"Flying\nWhenever Hypnotic Specter deals damage to an opponent, that player discards a card at random."
Knight of Dusk,rk post,{B}{B}: Destroy target creature blocking Knight of Dusk.
Looming Shade,Kev Walker,{B}: Looming Shade gets +1/+1 until end of turn.
Lord of the Pit,Michael Sutfin,"Flying, trample\nAt the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you."
Lord of the Undead,Brom,"Other Zombie creatures get +1/+1.\n{1}{B}, {T}: Return target Zombie card from your graveyard to your hand."
Mass of Ghouls,Lucio Parrillo,
Megrim,Nick Percival,"Whenever an opponent discards a card, Megrim deals 2 damage to that player."
Midnight Ritual,Jeff Easley,"Exile X target creature cards from your graveyard. For each creature card exiled this way, put a 2/2 black Zombie creature token onto the battlefield."
Mind Rot,Steve Luke,Target player discards two cards.
Mortal Combat,Mike Ploog,"At the beginning of your upkeep, if twenty or more creature cards are in your graveyard, you win the game."
Mortivore,Anthony S. Waters,Mortivore's power and toughness are each equal to the number of creature cards in all graveyards.\n{B}: Regenerate Mortivore.
Nantuko Husk,Carl Critchlow,Sacrifice a creature: Nantuko Husk gets +2/+2 until end of turn.
Nekrataal,Christopher Moeller,"First strike\nWhen Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated."
Nightmare,Carl Critchlow,Flying (This creature can't be blocked except by creatures with flying or reach.)\nNightmare's power and toughness are each equal to the number of Swamps you control.
No Rest for the Wicked,Carl Critchlow,Sacrifice No Rest for the Wicked: Return to your hand all creature cards in your graveyard that were put there from the battlefield this turn.
Phage the Untouchable,Ron Spears,"When Phage the Untouchable enters the battlefield, if you didn't cast it from your hand, you lose the game.\nWhenever Phage deals combat damage to a creature, destroy that creature. It can't be regenerated.\nWhenever Phage deals combat damage to a player, that player loses the game."
Phyrexian Rager,Mark Tedin,"When Phyrexian Rager enters the battlefield, you draw a card and you lose 1 life."
Plague Beetle,Tom Fleming,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Plague Wind,Alan Pollack,Destroy all creatures you don't control. They can't be regenerated.
Rain of Tears,Eric Peterson,Destroy target land.
Ravenous Rats,Carl Critchlow,"When Ravenous Rats enters the battlefield, target opponent discards a card."
Recover,Nelson DeCastro,Return target creature card from your graveyard to your hand.\nDraw a card.
Relentless Rats,Thomas M. Baxa,Relentless Rats gets +1/+1 for each other creature on the battlefield named Relentless Rats.\nA deck can have any number of cards named Relentless Rats.
Royal Assassin,Mark Zug,{T}: Destroy target tapped creature.
Scathe Zombies,Kev Walker,
Sengir Vampire,Kev Walker,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire."
Severed Legion,Dany Orizio,Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Sleeper Agent,Randy Gallegos,"When Sleeper Agent enters the battlefield, target opponent gains control of it.\nAt the beginning of your upkeep, Sleeper Agent deals 2 damage to you."
Soul Feast,Adam Rex,Target player loses 4 life and you gain 4 life.
Spineless Thug,Matthew D. Wilson,Spineless Thug can't block.
Stronghold Discipline,Daarken,Each player loses 1 life for each creature he or she controls.
Terror,Adam Rex,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Thrull Surgeon,rk post,"{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Activate this ability only any time you could cast a sorcery."
Underworld Dreams,Carl Critchlow,"Whenever an opponent draws a card, Underworld Dreams deals 1 damage to him or her."
Unholy Strength,Terese Nielsen,Enchant creature\nEnchanted creature gets +2/+1.
Vampire Bats,Chippy,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{B}: Vampire Bats gets +1/+0 until end of turn. Activate this ability no more than twice each turn.
Anaba Bodyguard,Greg Staples,First strike (This creature deals combat damage before creatures without first strike.)
Arcane Teachings,Dan Dos Santos,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature gets +2/+2 and has ""{T}: This creature deals 1 damage to target creature or player."""
Beacon of Destruction,Greg Hildebrandt,Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner's library.
Blaze,Alex Horley-Orlandelli,Blaze deals X damage to target creature or player.
Bloodfire Colossus,Greg Staples,"{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player."
Bloodrock Cyclops,Alex Horley-Orlandelli,Bloodrock Cyclops attacks each turn if able.
Bogardan Firefiend,Terese Nielsen,"When Bogardan Firefiend dies, it deals 2 damage to target creature."
Cone of Flame,Chippy,"Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player."
Cryoclasm,Zoltan Boros & Gabor Szikszai,Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.
Demolish,Gary Ruddell,Destroy target artifact or land.
Dragon Roost,Jim Pavelec,{5}{R}{R}: Put a 5/5 red Dragon creature token with flying onto the battlefield. (It can't be blocked except by creatures with flying or reach.)
Duct Crawler,Stephen Daniele,{1}{R}: Target creature can't block Duct Crawler this turn.
Earth Elemental,Anthony S. Waters,
Firebreathing,Aleksi Briclot,Enchant creature\n{R}: Enchanted creature gets +1/+0 until end of turn.
Fists of the Anvil,Pete Venters,Target creature gets +4/+0 until end of turn.
Flamewave Invoker,Dave Dorman,{7}{R}: Flamewave Invoker deals 5 damage to target player.
Flowstone Slide,Chippy,All creatures get +X/-X until end of turn.
Furnace of Rath,John Matson,"If a source would deal damage to a creature or player, it deals double that damage to that creature or player instead."
Furnace Whelp,Matt Cavotta,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Furnace Whelp gets +1/+0 until end of turn.
Goblin Elite Infantry,Robert Bliss,"Whenever Goblin Elite Infantry blocks or becomes blocked, it gets -1/-1 until end of turn."
Goblin King,Ron Spears,Other Goblin creatures get +1/+1 and have mountainwalk. (They can't be blocked as long as defending player controls a Mountain.)
Goblin Lore,D. Alexander Gregory,"Draw four cards, then discard three cards at random."
Goblin Piker,DiTerlizzi,
Goblin Sky Raider,Daren Bader,Flying (This creature can't be blocked except by creatures with flying or reach.)
Guerrilla Tactics,Dave Dorman,"Guerrilla Tactics deals 2 damage to target creature or player.\nWhen a spell or ability an opponent controls causes you to discard Guerrilla Tactics, Guerrilla Tactics deals 4 damage to target creature or player."
Hill Giant,Kev Walker,
Incinerate,Zoltan Boros & Gabor Szikszai,Incinerate deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.
"Kamahl, Pit Fighter",Kev Walker,"Haste (This creature can attack and {T} as soon as it comes under your control.)\n{T}: Kamahl, Pit Fighter deals 3 damage to target creature or player."
Lava Axe,Brian Snõddy,Lava Axe deals 5 damage to target player.
Lavaborn Muse,Brian Snõddy,"At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Lavaborn Muse deals 3 damage to him or her."
Lightning Elemental,Kev Walker,Haste (This creature can attack and {T} as soon as it comes under your control.)
Manabarbs,Jeff Miracola,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player."
Mogg Fanatic,Brom,Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.
Orcish Artillery,Jeff Miracola,{T}: Orcish Artillery deals 2 damage to target creature or player and 3 damage to you.
Prodigal Pyromancer,Jeremy Jarvis,{T}: Prodigal Pyromancer deals 1 damage to target creature or player.
Pyroclasm,John Avon,Pyroclasm deals 2 damage to each creature.
Rage Weaver,John Matson,{2}: Target black or green creature gains haste until end of turn. (It can attack and {T} this turn.)
Raging Goblin,Jeff Miracola,Haste (This creature can attack and {T} as soon as it comes under your control.)
Relentless Assault,Greg Hildebrandt,"Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase."
Rock Badger,Heather Hudson,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Scoria Wurm,Steve Firchow,"At the beginning of your upkeep, flip a coin. If you lose the flip, return Scoria Wurm to its owner's hand."
Seismic Assault,Greg Staples,Discard a land card: Seismic Assault deals 2 damage to target creature or player.
Shatterstorm,Paolo Parente,Destroy all artifacts. They can't be regenerated.
Shivan Dragon,Donato Giancola,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Shivan Hellkite,Kev Walker,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{R}: Shivan Hellkite deals 1 damage to target creature or player.
Shock,Jon Foster,Shock deals 2 damage to target creature or player.
Shunt,Greg Hildebrandt,Change the target of target spell with a single target.
Siege-Gang Commander,Christopher Moeller,"When Siege-Gang Commander enters the battlefield, put three 1/1 red Goblin creature tokens onto the battlefield.\n{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to target creature or player."
Smash,Paolo Parente,Destroy target artifact.\nDraw a card.
Soulblast,Jim Nelson,"As an additional cost to cast Soulblast, sacrifice all creatures you control.\nSoulblast deals damage to target creature or player equal to the total power of the sacrificed creatures."
Spark Elemental,John Avon,"Trample, haste (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker. This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Spark Elemental."
Spitting Earth,Michael Koelsch,Spitting Earth deals damage to target creature equal to the number of Mountains you control.
"Squee, Goblin Nabob",Greg Staples,"At the beginning of your upkeep, you may return Squee, Goblin Nabob from your graveyard to your hand."
Stun,Terese Nielsen,Target creature can't block this turn.\nDraw a card.
Sudden Impact,Wayne Reynolds,Sudden Impact deals damage to target player equal to the number of cards in that player's hand.
Threaten,Pete Venters,Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn. (It can attack and {T} this turn.)
Thundering Giant,Mark Zug,Haste (This creature can attack and {T} as soon as it comes under your control.)
Uncontrollable Anger,Kev Walker,Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature\nEnchanted creature gets +2/+2 and attacks each turn if able.
Viashino Runner,Steve White,Menace (This creature can't be blocked except by two or more creatures.)
Viashino Sandscout,Scott M. Fischer,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, return Viashino Sandscout to its owner's hand. (Return it only if it's on the battlefield.)"
Wall of Fire,Dan Dos Santos,Defender (This creature can't attack.)\n{R}: Wall of Fire gets +1/+0 until end of turn.
Warp World,Ron Spencer,"Each player shuffles all permanents he or she owns into his or her library, then reveals that many cards from the top of his or her library. Each player puts all artifact, creature, and land cards revealed this way onto the battlefield, then does the same for enchantment cards, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of his or her library."
Abundance,Rebecca Guay,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order."
Aggressive Urge,Christopher Moeller,Target creature gets +1/+1 until end of turn.\nDraw a card.
Avatar of Might,rk post,"If an opponent controls at least four more creatures than you, Avatar of Might costs {6} less to cast.\nTrample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)"
Birds of Paradise,Marcelo Vignali,Flying\n{T}: Add one mana of any color to your mana pool.
Blanchwood Armor,Paolo Parente,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature gets +1/+1 for each Forest you control.
Canopy Spider,Christopher Rush,Reach (This creature can block creatures with flying.)
Civic Wayfinder,Cyril Van Der Haegen,"When Civic Wayfinder enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library."
Commune with Nature,Lars Grant-West,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
Craw Wurm,Richard Sardinha,
Creeping Mold,Gary Ruddell,"Destroy target artifact, enchantment, or land."
Elven Riders,Darrell Riche,Elven Riders can't be blocked except by Walls and/or creatures with flying.
Elvish Berserker,Paolo Parente,"Whenever Elvish Berserker becomes blocked, it gets +1/+1 until end of turn for each creature blocking it."
Elvish Champion,D. Alexander Gregory,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.)
Elvish Piper,Rebecca Guay,"{G}, {T}: You may put a creature card from your hand onto the battlefield."
Enormous Baloth,Mark Tedin,
Femeref Archers,Zoltan Boros & Gabor Szikszai,{T}: Femeref Archers deals 4 damage to target attacking creature with flying.
Gaea's Herald,Jim Murray,Creature spells can't be countered.
Giant Growth,Matt Cavotta,Target creature gets +3/+3 until end of turn.
Giant Spider,Randy Gallegos,Reach (This creature can block creatures with flying.)
Grizzly Bears,D. J. Cleland-Hura,
Hunted Wumpus,Thomas M. Baxa,"When Hunted Wumpus enters the battlefield, each other player may put a creature card from his or her hand onto the battlefield."
Hurricane,John Howe,Hurricane deals X damage to each creature with flying and each player.
Joiner Adept,Heather Hudson,"Lands you control have ""{T}: Add one mana of any color to your mana pool."""
Karplusan Strider,Dan Scott,Karplusan Strider can't be the target of blue or black spells.
